회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,전화번호,팩스번호,업종명,설립일,결산월,popup_id
(주)비덴트  정보 더보기  rss,"Vidente Co., Ltd.",비덴트,121800,임정근  정보 더보기,코스닥시장,110111-2476376,107-86-14610,"서울특별시 금천구 가산디지털1로 84 (가산동, 에이스하이엔드 8차 12층)",www.vidente.co.kr,,070-8668-6611,02-6123-3201,방송장비 제조업,2002-03-20,12월,00693651
이트론(주)  정보 더보기  rss,"E-TRON CO.,LTD.",이트론,096040,이종보  정보 더보기,코스닥시장,110111-1803976,105-86-04644,서울특별시 금천구 범안로 1130 디지털엠파이어빌딩1203호,www.e-trons.co.kr,,02-528-9377,02-851-2533,기타 전문 도매업,1999-11-08,12월,00480756
(주)유비온  정보 더보기  rss,UBION CO.LTD.,유비온,084440,임재환,코스닥시장,110111-1848675,119-81-34860,서울특별시 구로구 디지털로34길 27 대륭포스트타워3차 601,www.ubion.co.kr,http://www.ubion.co.kr/,02-3782-8771,02-6020-8591,소프트웨어 개발 및 공급업,2000-01-11,09월,00531078
(주)창대정밀  정보 더보기  rss,CHANGDAE Precision,창대정밀,368030,"박제현, 박순민  정보 더보기",코넥스시장,134811-0529646,243-81-01342,경기도 화성시 양감면 토성로 608,www.i-changdae.com/,,031-8059-1791,,주형 및 금형 제조업,2019-12-17,12월,01467336
도부(주)  정보 더보기  rss,DOBU Inc.,도부,227420,김일순  정보 더보기,코넥스시장,110111-3623348,120-87-11670,경기도 광주시 회안대로 38-6 (매산동),www.dobumask.asia,,02-553-5638,02-553-5541,기타 전문 도매업,2007-02-16,12월,01109690
주식회사 신한로지스제1호위탁관리부동산투자회사,"Shinhan Logis the 1st REIT co., Ltd",신한로지스제1호위탁관리부동산투자회사,,박성언,기타법인,110111-7516466,183-87-01794,"서울특별시 중구 세종대로 136 (태평로1가, 파이낸스빌딩) 4층 6층",,,02-2158-7408,,부동산 투자자문업,2020-06-11,03월,01493429
농업회사법인아시아종묘(주)  정보 더보기  rss,"ASIA SEED Co.,Ltd.",아시아종묘,154030,류경오,코스닥시장,110111-3036096,215-86-58597,서울특별시 송파구 양재대로 932 가락몰 업무동 11층 08호,www.asiaseed.kr,,02-443-4303,02-406-9162,작물 재배업,2004-06-24,09월,00867478
(주)네오리진  정보 더보기  rss,"NEORIGIN Co., Ltd.",네오리진,094860,첸보(Chen Bo)  정보 더보기,코스닥시장,110111-3623463,114-86-57392,"서울특별시 강남구 학동로 155 (논현동, 원영빌딩지하1층,3층, 4층, 5층, 6층)",www.kornicglory.co.kr,,02-3476-4200,02-3476-4215,시스템 소프트웨어 개발 및 공급업,2007-02-20,12월,00599106
(주)유비씨  rss,"UVC Co., Ltd.",유비씨,495810,조규종,코넥스시장,110111-4340909,220-87-99108,"경기도 안양시 동안구 시민대로248번길 25, 404호, 1001호, 1004호, 1005호, 1006호",uvc.co.kr,,031-346-5497,,시스템 소프트웨어 개발 및 공급업,2010-04-30,12월,01867749
주식회사 마스턴프리미어제1호위탁관리부동산투자회사  rss,"MASTERN PREMIER REIT 1 Co., Ltd.",마스턴프리미어리츠,357430,정범식  정보 더보기,유가증권시장,110111-7408720,172-88-01447,서울특별시 서초구 강남대로 465,masternpremier.com,,02-3452-2077,,부동산 임대 및 공급업,2020-02-28,03월,01442966
(주)대동스틸  정보 더보기  rss,"DAE DONG STEEL CO., LTD.",대동스틸,048470,임형기 임주희(각자대표이사)  정보 더보기,코스닥시장,110111-0150691,116-81-35991,인천광역시 남동구 앵고개로622번길 29 남동공단 165B-1L 고잔동,WWW.DAEDONGSTEEL.CO.KR,,(02)780-4448,(02)786-6218,기타 전문 도매업,1973-08-14,12월,00109268
삼성물산(주)  정보 더보기  rss,SAMSUNG C&T CORPORATION,삼성물산,028260,"오세철, 정해린, 이재언  정보 더보기",유가증권시장,110111-0015762,202-81-45975,서울특별시 강동구 상일로6길 26 -,www.samsungcnt.com,,02-2145-5114,,기타 전문 도매업,1963-12-23,12월,00149655
한스바이오메드(주)  정보 더보기  rss,HANS BIOMED CORPORATION,한스바이오메드,042520,김근영  정보 더보기,코스닥시장,110111-1773872,206-81-17637,"서울특별시 송파구 정의로8길 7 9F,11F,12F",hansbiomed.com,,02-466-2266,463-1554,의료용품 및 기타 의약 관련제품 제조업,1999-09-15,09월,00349060
(주)금비  정보 더보기  rss,"KUMBI CO.,LTD",금비,008870,고기영  정보 더보기,유가증권시장,120111-0002022,126-81-09409,경기도 이천시 부발읍 중부대로1707번길 13,www.e-kumbi.co.kr,,031-632-5280,02-421-7520,포장용 유리용기 제조업,1973-06-05,09월,00168401
(주)방림  정보 더보기  rss,"PANGRIM CO.,LTD",방림,003610,서재희 대표집행임원  정보 더보기,유가증권시장,110111-0035108,107-81-11490,서울특별시 마포구 월드컵북로 402 케이지아이티센터 18층,www.pangrim.com,,02-2085-2114,(02)2088-2007,직물직조 및 직물제품 제조업,1962-12-05,09월,00122348
(주)씨앗  정보 더보기  rss,"CIAAT Co., Ltd.",씨앗,103660,이영선  정보 더보기,코넥스시장,110111-3438507,119-81-88916,광주광역시 광산구 평동산단로169번길 40(월전동),www.ciaat.net,,062-940-7200,062-940-7298,기타 화학제품 제조업,2006-04-12,12월,00762377
주식회사 에이엠시지  rss,"AMCG Co., Ltd.",에이엠시지,495900,서용성  정보 더보기,코넥스시장,110111-7803897,697-87-01880,"서울특별시 서초구 강남대로 331, 광일플라자빌딩 14층 1401호(서초동)",www.amcg.kr/,,02-598-8001,,그 외 기타 의료용 기기 제조업,2021-03-03,12월,01872893
(주)인터엠  rss,IntermCorporation,인터엠,017250,조남용  정보 더보기,코스닥시장,110111-0357403,127-81-58989,경기도 양주시 화합로1402번길 73 (덕정동),www.inter-m.co.kr,,031 -860 -7121,02-2289-8180,영상 및 음향기기 제조업,1983-10-05,09월,00145914
주식회사 미래에셋글로벌위탁관리부동산투자회사  rss,"Mirae Asset Global REIT Co., Ltd.",미래에셋글로벌리츠,396690,신현준,유가증권시장,110111-7896090,221-88-01962,서울특별시 종로구 종로 33 그랑서울,,,0230191200,,부동산 임대업,2021-05-21,03월,01576102
해성옵틱스(주)  rss,"Haesung Optics Co.,Ltd",해성옵틱스,076610,조철  정보 더보기,코스닥시장,134811-0069163,124-81-94098,경기도 화성시 봉담읍 효행로184번길 66,www.hso.co.kr,,031-292-1555,031)292-1558,사진장비 및 광학기기 제조업,2002-03-25,12월,00483735
(주)신한알파위탁관리부동산투자회사  정보 더보기  rss,"Shinhan Alpha REIT Co,. Ltd.",신한알파리츠,293940,이준구,유가증권시장,110111-6601135,293-81-00902,"서울특별시 중구 세종대로 136 4층, 6층(태평로1가, 서울파이낸스센터)",www.shalphareit.com,www.shalphareit.com,02-2158-7400,02-2158-7449,부동산 임대업,2017-12-18,03월,01276594
(주)아이디스홀딩스  정보 더보기  rss,"IDIS Holdings Co., Ltd",아이디스홀딩스,054800,김영달  정보 더보기,코스닥시장,160111-0065824,314-81-20205,대전 유성구 관평동 1301,www.idisholdings.co.kr,www.idisholdings.co.kr,042-933-9677,042-930-9700,기타 전문 서비스업,1997-09-24,12월,00359580
이화전기공업(주)  정보 더보기  rss,"EHWA TECHNOLOGIES INFORMATION CO., LTD.",이화전기,024810,위종묵  정보 더보기,코스닥시장,110111-0054520,215-81-04548,서울특별시 강남구 논현로 746 석호빌딩,www.eti21.com,,02-3440-0276,0234400289,"전동기, 발전기 및 전기 변환장치 제조업",1965-06-03,12월,00145738
에스케이위탁관리부동산투자회사 주식회사  정보 더보기  rss,"SK REIT Co., Ltd.",SK리츠,395400,에스케이리츠운용 주식회사  정보 더보기,유가증권시장,110111-7815446,248-86-02055,서울특별시 중구 세종대로 136 15층,skreit.co.kr,,02-6353-7070,02-6353-7099,비주거용 건물 임대업,2021-03-15,03월,01535150
주식회사 디앤디플랫폼위탁관리부동산투자회사  rss,"D&D Platform REIT Co., Ltd.",디앤디플랫폼리츠,377190,이양원  정보 더보기,유가증권시장,110111-7420211,839-81-01589,"서울특별시 강남구 강남대로 382 7층 (역삼동, 메리츠타워)",dndplatformreit.com/,,02-6201-9500,,부동산 임대 및 공급업,2020-03-10,03월,01475609
(주)셀피글로벌  정보 더보기  rss,"Cellfie Global Co.,Ltd.",셀피글로벌,068940,유기종  정보 더보기,코스닥시장,170111-0141812,501-81-23451,대구광역시 달서구 호산동로7길 17,www.cardnsoft.com,,053-592-3433,053-592-3438,"전자코일, 변성기 및 기타 전자 유도자 제조업",1998-11-10,12월,00308896
(주)세원정공  정보 더보기  rss,"SEWON PRECISION INDUSTRY CO.,LTD",세원정공,021820,장제상  정보 더보기,유가증권시장,170111-0039207,503-81-11081,대구광역시 달서구 달서대로 554,www.se-won.co.kr,,053-582-5161,(053)583-3555,자동차 신품 부품 제조업,1989-07-29,06월,00134316
주식회사 이지스밸류플러스위탁관리부동산투자회사  정보 더보기  rss,"IGIS Value Plus REIT Co., Ltd.",이지스밸류플러스리츠,334890,도병운,유가증권시장,110111-7173224,536-88-01452,"서울특별시 영등포구 여의공원로 115, 14층",www.igisvaluereit.com,www.igisvaluereit.com,02-6959-3100,,부동산 임대 및 공급업,2019-07-16,08월,01394377
(주)신한글로벌액티브위탁관리부동산투자회사  rss,"Shinhan Global Active REIT Co., Ltd.",신한글로벌액티브리츠,481850,조준우  정보 더보기,유가증권시장,110111-8234075,382-87-02288,"서울특별시 중구 세종대로 136 , 4층, 6층(태평로1가, 서울파이낸스센터)",shglobalreit.com,,02-2158-7400,,신탁업 및 집합투자업,2022-03-17,02월,01714997
(주)유니온커뮤니티  정보 더보기  rss,"Union community Co., Ltd.",유니온커뮤니티,203450,신요식,코스닥시장,110111-1892903,211-86-91935,서울특별시 송파구 법원로 127 문정대명벨리온 12층,www.unioncomm.co.kr,,02-6488-3127,02-6488-3096,기타 무선 통신장비 제조업,2000-02-29,12월,00408266
(주)한국비티비  정보 더보기  rss,"BTB Korea Co.,Ltd",한국비티비,219750,최완규  정보 더보기,코스닥시장,110111-1651101,229-81-36321,경기도 성남시 분당구 동원로 7 지티지웰니스,www.gtgwellness.co.kr,,070 - 7874 - 1069,031-702-4417,의료용 기기 제조업,1999-02-12,12월,01031229
주식회사 고바이오랩  rss,"KoBioLabs, Inc.",고바이오랩,348150,고광표  정보 더보기,코스닥시장,110111-5487437,119-86-92996,"서울특별시 관악구 관악로 1 220동 745-1호(신림동, 서울대학교종합연구동)",kobiolabs.com,,02-888-9964,02-888-9940,의학 및 약학 연구개발업,2014-08-11,12월,01399071
(주)광명전기  정보 더보기  rss,"KWANG MYUNG ELECTRIC CO.,LTD",광명전기,017040,"이재광, 원호정  정보 더보기",유가증권시장,130111-0006270,134-81-04007,경기도 안산시 단원구 목내로 160 (목내동),www.kmec.co.kr,www.kmec.co.kr,031-494-0720,02)2240-8109,배전반 및 전기 자동제어반 제조업,1983-06-08,12월,00103662
(주)코람코더원위탁관리부동산투자회사  정보 더보기  rss,KORAMCO THE ONE REIT,코람코더원리츠,417310,서길석  정보 더보기,유가증권시장,110111-5837294,692-88-00184,서울특별시 강남구 삼성로 511,koramcothe1.com,,02-787-0000,02-2181-1601,비주거용 건물 임대업,2015-09-15,02월,01180118
(주)페이투스,"PAYTUS Co,. Ltd.",페이투스,,서동균  정보 더보기,기타법인,110111-5968453,810-81-00347,"서울특별시 금천구 가산디지털1로 168 (가산동, 우림라이온스밸리)C동 701B호",www.paytus.co.kr,,02-465-8800,02-465-8802,기타 금융 지원 서비스업,2016-02-11,12월,01534610
(주)풍강  정보 더보기  rss,"PUNGKANGCO.,LTD",풍강,093380,김진용  정보 더보기,코스닥시장,134111-0002141,123-81-01349,경기도 화성시 우정읍 남양만로 745,www.pungkang.co.kr,,031-359-3600,031-359-3650,기타 금속 가공제품 제조업,1974-09-10,08월,00155373
삼천리자전거(주)  정보 더보기  rss,"SAMCHULY BICYCLE CO., LTD",삼천리자전거,024950,신동호  정보 더보기,코스닥시장,110111-0250136,119-81-07359,서울특별시 강남구 테헤란로 445 (삼성동),www.samchuly.co.kr,,02 -2194-3021,0234485484,자전거 및 기타 운송장비 도매업,1979-03-23,12월,00128607
(주)타조엔터테인먼트  정보 더보기  rss,"TAJOY entertainment co., LTD",타조엔터테인먼트,476710,이성호,코넥스시장,110111-4663301,107-87-56524,서울특별시 마포구 토정로 255 수성빌딩 3층(용강동),tajoyent.com/,,02-780-9767,02-780-9770,창작 및 예술관련 서비스업,2011-08-05,12월,01518506
안국약품(주)  rss,"AHN-GOOK PHARMACEUTICAL Co., Ltd.",안국약품,001540,"어진, 박인철 (각자 대표)  정보 더보기",코스닥시장,110111-0026420,118-81-04188,경기도 과천시 과천대로7길 12 (갈현동) 프리즘스퀘어2 A동,www.ahn-gook.com,,02 -3289-4221,02-847-8869,의약품 제조업,1959-02-12,12월,00139205
