Accounts,2023.06.30,2022.06.30,2021.06.30
자산,,,
유동자산,1849854505.0,2655423268.0,1815781810.0
"현금및예치금 (주6,11)",309485271.0,1507649225.0,1021899684.0
단기금융상품 (주7),50000000.0,250000000.0,0.0
매출채권및기타채권 (주8),1160796100.0,762338077.0,652997630.0
유동재고자산 (주9),118453476.0,126206903.0,63758909.0
특수관계자대여금 (주10),0.0,0.0,11531859.0
기타유동자산,211119658.0,9229063.0,65593728.0
비유동자산,6348674745.0,4682485383.0,3007634904.0
장기매출채권및기타채권 (주8),204077810.0,202915699.0,0.0
장기금융상품 (주7),0.0,50000000.0,0.0
관계기업투자 (주11),62228739.0,62225639.0,62029360.0
유형자산 (주12),5942353536.0,4236625019.0,2817232723.0
사용권자산 (주13),91655015.0,71860986.0,73516404.0
무형자산 (주14),45045865.0,49722152.0,50110628.0
이연법인세자산 (주34),3313780.0,9135888.0,4745789.0
기타비유동자산,,,
자산총계,8198529250.0,7337908651.0,4823416714.0
부채,,,
유동부채,2497675088.0,647120398.0,466443015.0
매입채무및기타채무 (주15),949667532.0,411762370.0,286964494.0
유동 차입금 (주16),195300000.0,164100000.0,134400000.0
비유동차입금의 유동성 대체 부분 (주16),1300000000.0,0.0,0.0
특수관계자차입금 (주38),29775813.0,26776561.0,2136608.0
당기법인세부채,18322585.0,22622624.0,31704553.0
단기이연수익 (주17),689788.0,1110796.0,1110796.0
기타 유동부채 (주18),3919370.0,20748047.0,10126564.0
비유동부채,1448400000.0,2748938888.0,649049684.0
장기차입금 (주16),1446000000.0,2746000000.0,645000000.0
장기이연수익 (주17),2400000.0,2938888.0,4049684.0
기타 비유동 부채,,,
부채총계,3946075088.0,3396059286.0,1115492699.0
자본,,,
지배기업의 소유주에게 귀속되는 자본,3821989553.0,3535212233.0,3297341136.0
자본금 (주19),770089223.0,770089223.0,770089223.0
자본잉여금 (주20),410213421.0,410213421.0,410213421.0
이익잉여금(결손금) (주21),2641686909.0,2354909589.0,2117038492.0
비지배지분 (주22),430464609.0,406637132.0,410582879.0
자본총계,4252454162.0,3941849365.0,3707924015.0
자본과부채총계,8198529250.0,7337908651.0,4823416714.0
