Accounts,2022.07.01~2023.06.30,2021.07.01~2022.06.30,2020.07.01~2021.06.30
매출액 (주23),4041639278.0,2310536095,2144140338
매출원가 (주31),3402175368.0,1865481081,1661844847
매출총이익,639463910.0,445055014,482295491
"판매및유통비 (주25,31)",61354595.0,43378369,44578766
"관리비및손상차손 (주26,31)",163594002.0,119437272,107329152
영업이익,414515313.0,282239373,330387573
금융수익 (주27),14225273.0,16613128,3717823
금융비용 (주28),49105587.0,24283968,8422762
기타수익 (주29),3201018.0,5143786,2834119
기타비용 (주30),7963241.0,1515322,1231009
관계기업투자손익 (주11),3100.0,196279,"(449,701)"
법인세비용차감전순이익,374875876.0,278393276,326836043
법인세비용(수익) (주34),65501208.0,44467926,69338045
당기순이익 및 포괄이익,309374667.0,233925350,257497998
연결당기순이익 및 총포괄이익의 귀속,,,
지배기업 소유주지분,286777320.0,237871097,258370526
비지배지분 (주22),22597347.0,"(3,945,747)","(872,528)"
기본주당이익 및 희석주당이익 (단위 : CNY) (주35),4.0,4,4
