Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
영업수익 (주29),258935494,302231360,279604799.0
매출원가 (주21),180388580,190041770,166411342.0
매출총이익,78546914,112189590,113193457.0
"판매비와관리비 (주21,22)",71979938,68812960,61559601.0
영업이익 (주29),6566976,43376630,51633856.0
기타이익 (주23),1180448,1962071,2205695.0
기타손실 (주23),1083327,1790176,2055971.0
지분법이익 (주9),887550,1090643,729614.0
금융수익 (주24),16100148,20828995,8543187.0
금융비용 (주24),12645530,19027689,7704554.0
법인세비용차감전순이익(손실),11006265,46440474,53351827.0
법인세비용(수익) (주25),"(4,480,835)","(9,213,603)",13444377.0
계속영업이익(손실),15487100,55654077,39907450.0
당기순이익(손실),15487100,55654077,39907450.0
당기순이익(손실)의 귀속,,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),14473401,54730018,39243791.0
비지배지분에 귀속되는 당기순이익(손실),1013699,924059,663659.0
주당이익 (주26),,,
기본주당이익(손실) (단위 : 원),2131.0,8057.0,5777.0
희석주당이익(손실) (단위 : 원),2131.0,8057.0,5777.0
