Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
수익(매출액),370537406739,383810821787.0,371347508042.0
매출원가,170389454921,167782597435.0,166944879890.0
매출총이익,200147951818,216028224352.0,204402628152.0
판매비와관리비,147895868994,149660600187.0,143182062501.0
경상연구개발비,27439226487,25960085893.0,20195554438.0
영업이익(손실),24812856337,40407538272.0,41025011213.0
기타이익,2619602078,3641440117.0,1611354185.0
기타손실,20022459159,960739684.0,3542237283.0
금융수익,1080065706,3311528159.0,2253381183.0
금융원가,5441958142,5068362975.0,2420140313.0
법인세비용차감전순이익(손실),3048106820,41331403889.0,38927368985.0
법인세비용(수익),2936394642,9590386121.0,12971655032.0
당기순이익(손실),111712178,31741017768.0,25955713953.0
당기순이익(손실)의 귀속,,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),"(2,545,957,226)",19237937223.0,14383750120.0
비지배지분에 귀속되는 당기순이익(손실),2657669404,12503080545.0,11571963833.0
주당이익,,,
기본주당이익(손실) (단위 : 원),(140),1036.0,790.0
희석주당이익(손실) (단위 : 원),(140),1036.0,790.0
