Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,606635047.0,613796109.0,572478087.0
현금및현금성자산,181503983.0,196696997.0,111810725.0
기타유동금융자산,33477209.0,28597049.0,59065383.0
매출채권 및 기타유동채권,158204907.0,155228956.0,167328131.0
유동재고자산,227011779.0,226863214.0,219336280.0
기타유동자산,1207114.0,1748344.0,1114350.0
"유동생물자산, 총액",4792258.0,4643899.0,4506439.0
당기법인세자산,437797.0,17650.0,13955.0
매각예정비유동자산,,,9302824.0
비유동자산,578756565.0,605670187.0,609812142.0
장기매출채권 및 기타비유동채권,6303104.0,13919889.0,15691016.0
기타비유동금융자산,34831615.0,39005806.0,39032741.0
"종속기업, 공동기업과 관계기업에 대한 투자자산",,7177862.0,8176865.0
유형자산,364080156.0,367532064.0,393115372.0
영업권 이외의 무형자산,629395.0,643809.0,642738.0
투자부동산,165777251.0,170141755.0,150291120.0
기타비유동자산,134111.0,134116.0,134100.0
"비유동생물자산, 총액",383469.0,443307.0,628332.0
이연법인세자산,3833149.0,,
퇴직급여운용자산/퇴직연금운용자산,2784315.0,6671579.0,2099858.0
자산총계,1185391612.0,1219466296.0,1182290229.0
부채,,,
유동부채,315984108.0,390061782.0,423333551.0
매입채무 및 기타유동채무,133356203.0,123671668.0,140049018.0
유동 차입금,147837483.0,207964822.0,246729631.0
기타유동금융부채,5185273.0,11843979.0,2472711.0
기타 유동부채,27247085.0,33166586.0,31425090.0
당기법인세부채,2208668.0,13183987.0,2307653.0
유동충당부채,149396.0,230740.0,349448.0
비유동부채,314816943.0,291685762.0,247757668.0
장기매입채무 및 기타비유동채무,3835199.0,2615560.0,3897228.0
장기차입금,245937715.0,229242385.0,177529718.0
기타비유동금융부채,1902786.0,2163038.0,1113658.0
퇴직급여부채,148351.0,353266.0,
이연법인세부채,62992892.0,57311513.0,65217064.0
부채총계,630801051.0,681747544.0,671091219.0
자본,,,
지배기업의 소유주에게 귀속되는 자본,554344669.0,537502854.0,510954964.0
자본금,48089670.0,48089670.0,48089670.0
자본잉여금,11055195.0,11055195.0,11055195.0
기타자본구성요소,54497651.0,54422927.0,53066730.0
기타포괄손익누계액,120488663.0,122581432.0,119474231.0
이익잉여금(결손금),320213490.0,301353630.0,279269138.0
비지배지분,245892.0,215898.0,244046.0
자본총계,554590561.0,537718752.0,511199010.0
자본과부채총계,1185391612.0,1219466296.0,1182290229.0
