Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
당기순이익(손실),"(39,776,206)",186026376,233388925
기타포괄손익,"(7,935,022)",34177605,13180574
후속적으로 당기손익으로 재분류되는 항목,4331283,"(17,176,443)",2810735
관계기업 기타포괄손익에 대한 지분 - 후속적으로 재분류되는 항목,1406841,61797,2584157
파생상품평가손익,"(1,105,410)",1155228,226578
해외사업장 외화환산손익,4029852,"(18,393,468)",0
후속적으로 당기손익으로 재분류되지 않는 항목,"(12,266,305)",51354048,10369839
관계기업 재측정요소에 대한 지분,"(1,663,530)",3119444,926948
관계기업 기타포괄손익에 대한 지분 - 후속적으로 재분류 되지 않는 항목,"(1,861,993)","(783,156)","(76,760)"
기타포괄손익-공정가치측정지분상품평가손익,4451778,7152113,1682360
순확정급여자산(부채)의 재측정요소,"(13,192,560)",41865647,7837291
총포괄손익,"(47,711,228)",220203981,246569499
포괄손익의 귀속,,,
지배기업소유주지분,"(89,540,164)",187735419,201148869
비지배지분에 귀속되는 포괄손익,41828936,32468562,45420630
