Accounts,2023.12.31
자산,
유동자산,378556857
현금및현금성자산,36027468
매출채권및기타채권,223974926
유동금융자산,36533511
유동재고자산,74295608
기타유동자산,7647738
당기법인세자산,77606
비유동자산,501760346
유형자산,219155413
투자부동산,2530926
무형자산,141892240
사용권자산,23932436
비유동금융자산,10298111
기타비유동자산,64342
기타비유동금융자산,72960257
이연법인세자산,12724359
순확정급여자산,18202262
자산총계,880317203
부채,
유동부채,224641379
매입채무및기타채무,171907643
단기차입금및유동성장기부채,6223360
기타 유동부채,28028587
기타유동금융부채,1292700
당기법인세부채,11168980
유동 리스부채,6020109
비유동부채,27164837
기타 비유동 부채,4693692
기타비유동금융부채,22408
충당부채,5942291
비유동 리스부채,16506446
부채총계,251806216
자본,
지배기업 소유주지분,628315540
자본금,16940457
자본잉여금,577446769
이익잉여금,25941501
기타포괄손익누계액,8332232
자기주식,"(345,419)"
비지배지분,195447
자본총계,628510987
자본과부채총계,880317203
