Accounts,2023.03.01~2023.12.31
수익(매출액),1826998311
매출원가,1526648094
매출총이익,300350217
판매비와관리비,235277310
매출채권및기타채권손상차손,231266
영업이익(손실),64841641
금융수익,4287399
금융원가,989198
기타수익,2312105
기타비용,17619055
법인세비용차감전순이익(손실),52832892
법인세비용(수익),13505737
당기순이익(손실),39327155
당기순이익(손실)의 귀속,
지배기업 소유주지분,39272135
비지배지분,55020
기타포괄손익,"(11,710,276)"
후속적으로 당기손익으로 재분류되는 항목,1743854
해외사업장환산이익,1743854
후속적으로 당기손익으로 재분류되지 않는 항목,"(13,454,130)"
확정급여부채의 재측정요소,"(13,454,130)"
총포괄이익,
지배기업 소유주지분,27685355
비지배지분,"(68,476)"
주당이익,
기본주당이익(손실) (단위 : 원),1159
