Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
당기순이익,1414258,2115750,2683974
법인세비용차감후기타포괄손익,75160,2848310,505632
후속적으로 당기손익으로 재분류될 수 있는 항목,168267,2631387,527839
지분법자본변동,174873,2650077,522546
해외사업장환산외환차이,"(6,606)","(18,690)",5293
후속적으로 당기손익으로 재분류되지 않는 항목,"(93,107)",216923,"(22,207)"
기타금융자산 평가 및 처분손익,13963,8056,"(7,282)"
확정급여제도의 재측정요소,(772),8568,"(7,936)"
지분법이익잉여금변동,"(106,298)",200299,"(6,989)"
총포괄이익,1489418,4964060,3189606
총포괄손익의 귀속,,,
지배기업의 소유주,1331663,4827867,3064754
비지배지분,157755,136193,124852
