Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
"매출액 (주28,39)",41352688159,40924879773,34484026554
매출원가 (주29),"(29,955,292,833)","(29,696,090,453)","(24,787,913,920)"
매출총이익,11397395326,11228789320,9696112634
"판매비와관리비 (주29,30)","(9,358,337,437)","(9,074,587,530)","(7,814,312,535)"
영업이익(손실),2039057889,2154201790,1881800099
금융수익 (주31),668420229,929447813,499867272
금융비용 (주31),"(1,492,718,323)","(1,488,595,046)","(976,810,779)"
공동기업 및 관계기업투자주식에 대한 지분법손익 (주14),"(51,995,266)","(162,923,355)",86575271
기타영업외수익 (주32),614334740,366473482,599700864
기타영업외비용 (주32),"(791,164,572)","(742,365,672)","(790,283,236)"
법인세차감전순이익,985934697,1056239012,1300849491
법인세비용 (주22),"(461,266,707)","(369,393,322)","(493,887,833)"
당기순이익,524667990,686845690,806961658
당기순이익의 귀속,,,
지배기업의 소유주,194790703,202069855,274974387
비지배지분,329877287,484775835,531987271
지배기업 소유주 지분에 대한 주당순이익 (주33),,,
보통주 주당순이익 (단위 : 원),5806.0,6023.0,8197.0
보통주 희석주당순이익 (단위 : 원),5806.0,6023.0,8197.0
우선주 주당순이익 (단위 : 원),5856.0,6073.0,8247.0
우선주 희석주당순이익(손실) (단위 : 원),5856.0,6073.0,8247.0
신형우선주 주당순이익 (단위 : 원),5806.0,6023.0,8197.0
신형우선주 희석주당순이익 (단위 : 원),5806.0,6023.0,8197.0
