Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
매출액,20230592910,20896933146,33132709863
매출원가,15448177818,16621980346,26747232596
매출총이익,4782415092,4274952800,6385477267
판매비와관리비,4489267118,4434725468,4323425128
영업이익(손실),293147974,"(159,772,668)",2062052139
금융수익,2546965012,1218152290,565458355
금융비용,990875479,617375368,406546408
지분법이익(손실),6461964244,239447605,3993433504
기타수익,383954242,73539721,590433388
기타비용,61997270,1482959252,105380404
법인세비용차감전순이익(손실),8633158723,"(728,967,672)",6699450574
법인세비용(수익),"(489,330,565)",10472607,21587541
계속영업순손실,,"(739,440,279)",6677863033
중단영업순손실,,,"(371,976,692)"
당기순이익(손실),9122489288,"(739,440,279)",6305886341
기타포괄손익,"(271,459,020)",422570661,37941436
당기손익으로 재분류되지 않는항목(세후기타포괄손익),"(172,415,280)",374619314,5818083
확정급여제도의 재측정손익(세후기타포괄손익),"(169,856,739)",314156592,102993719
지분법자본변동,"(2,558,541)",60462722,"(97,175,636)"
당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),"(99,043,740)",47951347,32123353
해외사업장환산외환차이(세후기타포괄손익),"(99,043,740)",47951347,32123353
총포괄손익,8851030268,"(316,869,618)",6343827777
당기순이익(손실)의 귀속,,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),9122489288,"(739,440,279)",6305886341
포괄손익의 귀속,,,
"포괄손익, 지배기업의 소유주에게 귀속되는 지분",8851030268,"(316,869,618)",6343827777
주당이익,,,
기본주당이익(손실) (단위 : 원),343,(29),236
희석주당이익(손실) (단위 : 원),303,(29),
중단영업희석주당이익(손실) (단위 : 원),,,
중단영업주당손실 (단위 : 원),,,(14)
