Accounts,2023.12.31
자산,
유동자산,159728472126.0
현금및현금성자산,15444998657.0
단기금융상품,26920427399.0
매출채권,17572833835.0
기타유동금융자산,21073904901.0
유동재고자산,71018988411.0
유동계약자산,393324994.0
기타유동자산,7303993929.0
비유동자산,178976954480.0
유형자산,94583620558.0
무형자산,78410938470.0
이연법인세자산,3024689711.0
기타비유동금융자산,2847610604.0
기타비유동자산,110095137.0
자산총계,338705426606.0
부채,
유동부채,77511920085.0
단기매입채무,8949353168.0
유동 차입금,40961160000.0
유동 리스부채,2543741882.0
기타유동금융부채,19846592046.0
당기법인세부채,2828040146.0
유동계약부채,825436493.0
기타 유동부채,1557596350.0
비유동부채,73996890192.0
장기차입금,69702900000.0
비유동 리스부채,4181834260.0
기타비유동금융부채,51862822.0
순확정급여부채,60293110.0
부채총계,151508810277.0
자본,
지배기업의 소유주에게 귀속되는 자본,187196616329.0
자본금,16171966500.0
기타불입자본,164389884734.0
이익잉여금(결손금),325089678.0
기타포괄손익누계액,6139540779.0
기타자본구성요소,170134638.0
비지배지분,0.0
자본총계,187196616329.0
자본과부채총계,338705426606.0
