Accounts,2023.12.28~2023.12.31
수익(매출액),2781338079.0
매출원가,644909222.0
매출총이익,2136428857.0
판매비와관리비,1468801082.0
영업이익(손실),667627775.0
금융수익,22318263.0
금융원가,127762900.0
기타이익,48299566.0
기타손실,258657526.0
법인세비용차감전순이익(손실),351825178.0
법인세비용(수익),113938193.0
당기순이익(손실),237886985.0
기타포괄손익,87202693.0
당기손익으로 재분류되지 않는항목(세후기타포괄손익),87202693.0
보험수리적손익,
당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),0.0
총포괄손익,325089678.0
당기순이익(손실)의 귀속,
지배기업의 소유주에게 귀속되는 당기순이익(손실),237886985.0
비지배지분에 귀속되는 당기순이익(손실),0.0
포괄손익의 귀속,
"포괄손익, 지배기업의 소유주에게 귀속되는 지분",325089678.0
"포괄손익, 비지배지분",0.0
주당이익,
기본주당이익(손실) (단위 : 원),7.35
희석주당이익(손실) (단위 : 원),7.34
