Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
영업수익,0,0,0
"영업비용 (주20,26)",42605742,45034317,45355669
영업손실,"(42,605,742)","(45,034,317)","(45,355,669)"
기타수익 (주21),18156,15116,13510
기타비용 (주21),177209,10859,91508
"금융수익 (주6,22)",2367494,1090308,441898
"금융비용 (주6,22,26)",435243,2725530,806862
법인세비용차감전순손실,"(40,832,544)","(46,665,282)","(45,798,631)"
법인세비용(수익) (주23),77599,90107,60701
당기순이익(손실),"(40,910,143)","(46,755,389)","(45,859,332)"
기타포괄손익,"(81,071)","(248,118)","(280,856)"
후속적으로 당기손익으로 재분류되지 않는 포괄손익,,,
순확정급여부채의 재측정요소 (주15),"(17,995)",65370,"(16,058)"
후속적으로 당기손익으로 재분류되는 포괄손익,,,
해외사업장환산외환차이(세후기타포괄손익) (주17),"(63,076)","(313,488)","(264,798)"
총포괄손실,"(40,991,214)","(47,003,507)","(46,140,188)"
주당손실,,,
기본주당손실 (단위 : USD) (주24),(2.07),(2.37),(2.41)
희석주당손실 (단위 : USD) (주24),(2.07),(2.37),(2.41)
