Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,17628555,22368727,24766593
현금및현금성자산,2340245,11740316,16522286
단기금융상품,6000000,0,0
매출채권,4806490,6883379,5457806
기타금융자산,206397,2971,70604
재고자산,3569914,3214065,2081944
기타유동자산,705509,527996,633953
비유동자산,16958961,16456678,17020770
유형자산,5573223,3256386,2523092
사용권자산,3273270,3923377,4930516
무형자산,6613401,7509846,8188854
관계기업투자,1262588,1290424,1272513
기타비유동금융자산,194115,107953,89749
기타비유동자산,42364,368692,16046
자산총계,34587516,38825405,41787363
부채,,,
유동부채,6872814,7645622,9047752
매입채무,1624742,1824784,1347264
기타금융부채,724748,461800,1379739
단기차입금,70782,0,0
기타유동부채,3351794,4293247,3603390
당기법인세부채,2994,765,1923
리스부채,1097754,1065026,2715436
비유동부채,2705368,3022719,3936947
리스부채,2701068,3018707,3936947
기타비유동부채,4300,4012,0
부채총계,9578182,10668341,12984699
자본,,,
지배기업 소유주지분,24988569,28157064,28802664
자본금,1923605,1920505,1913355
주식발행초과금,78568970,78475083,78249596
기타자본항목,528124,508607,575459
이익잉여금(결손금),"(56,032,130)","(52,747,131)","(51,935,746)"
비지배지분,20765,0,0
자본총계,25009334,28157064,28802664
자본과부채총계,34587516,38825405,41787363
