Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,320667,465066,366237
현금및현금성자산,48374,18733,19596
단기금융상품,22389,21755,9028
파생상품자산,15113,0,539
매출채권,120311,256567,181467
재고자산,64659,91873,111881
선급금,25633,16657,13312
기타채권,14635,42914,18277
단기비금융자산,4021,8895,12137
매각예정비유동자산,5532,7672,0
비유동자산,258013,276718,309912
장기금융자산,30129,17714,17025
관계기업 및 공동기업에 대한 지분,2531,744,600
장기매출채권,959,4851,11191
기타채권,17602,32310,30224
장기선급금,8,8,8
유형자산,205004,218439,245426
무형자산,1736,2347,2198
이연법인세자산,44,11,8
기타비유동자산,0,294,3232
자산총계,578680,741784,676149
부채,,,
유동부채,397619,541861,448391
매입채무,56936,98020,124360
계약부채,13650,18552,13306
단기차입금,292426,348729,252281
유동성장기부채,15693,16229,27513
단기금융부채,17863,39240,27083
파생상품부채,695,13674,3266
단기비금융부채,356,1931,582
매각예정비유동부채,0,5486,0
비유동부채,32419,97516,105228
장기차입금,9849,76233,70979
장기금융부채,3119,5864,14924
장기계약부채,1364,1692,1980
장기비금융부채,711,345,1674
퇴직급여부채,255,480,1347
이연법인세부채,17121,12902,14324
부채총계,430038,639377,553619
자본,,,
지배기업의 소유주에게 귀속되는 자본,86470,50148,66869
자본금,77545,71554,71554
자본잉여금,407740,340399,340794
자기주식,"(1,206)",(248),(248)
기타자본,"(281,503)","(296,602)","(293,311)"
이익잉여금(결손금),"(116,106)","(64,955)","(51,920)"
비지배지분,62172,52259,55661
자본총계,148642,102407,122530
자본과부채총계,578680,741784,676149
