Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
Ⅰ.영업이익,4147197,4162750,3586717
(1)순이자손익,8402659,8205202,6611758
1.이자수익,20381189,14085816,9445471
당기손익-공정가치측정금융상품이자수익,584502,401732,217825
기타포괄손익-공정가치측정 및 상각후원가측정 금융상품이자수익,19796687,13684084,9227646
2.이자비용,11978530,5880614,2833713
(2)순수수료손익,910951,955310,977805
1.수수료수익,1266531,1280575,1273750
2.수수료비용,355580,325265,295945
(3)배당수익,49529,20832,18571
(4)당기손익-공정가치측정금융상품관련손익,740907,11427,334492
(5)외환거래손익,161476,393955,201022
(6)당기손익-공정가치측정지정금융상품관련손익,2495,2673,0
(7)기타포괄손익-공정가치측정유가증권처분손익,21697,"(1,209)",67065
(8)상각후원가측정유가증권처분손익,(107),(60),(310)
(9)신용손실충당금전입,865048,598289,352746
(10)일반관리비,3813872,3702292,3361033
(11)기타영업손익,"(1,463,490)","(1,124,799)","(909,907)"
Ⅱ.영업외손익,"(114,648)","(77,425)","(264,221)"
Ⅲ.관계기업손익에대한지분,8556,22301,25400
Ⅳ.법인세차감전순이익,4041105,4107626,3347896
Ⅴ.법인세비용,973114,1061894,853002
Ⅵ.당기순이익,3067991,3045732,2494894
대손준비금 반영후 조정이익 (주1),3219679,3177081,2204974
Ⅶ.기타포괄손익,639838,"(651,494)","(98,066)"
(1)후속적으로당기손익으로재분류되는항목,,,
1.해외사업환산손익,"(7,811)","(19,417)",208223
2.기타포괄손익-공정가치측정유가증권평가손익,774304,"(788,642)","(354,697)"
3.관계기업의기타포괄손익에대한지분,7156,"(10,186)","(2,866)"
(2)후속적으로당기손익으로재분류되지않는항목,,,
1.확정급여제도의 재측정요소,"(158,463)",195247,33997
2.기타포괄손익-공정가치측정유가증권평가손익,24652,"(28,496)",17277
Ⅷ.총포괄손익,3707829,2394238,2396828
(1)당기순이익의 귀속,,,
1.지배기업소유지분,3067681,3045012,2494375
2.비지배지분,310,720,519
(2)당기총포괄손익의 귀속,,,
1.지배기업소유지분,3707329,2393359,2395745
2.비지배지분,500,879,1083
IX.주당이익,,,
1.기본주당이익 (단위 : 원),1878,1880,1538
2.희석주당이익 (단위 : 원),1878,1880,1538
