Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,99385495353,78165685356,91448899410
"현금및현금성자산 (주7,31)",13431033629,8273953150,10099450358
"매출채권및기타채권 (주6,7,31,34)",17511479646,15427025417,16823275110
"기타금융자산 (주7,8,31)",51941569950,38014343639,42284118083
"단기투자자산 (주7,9,31)",2318479268,1421075400,2790728200
기타유동자산 (주10),106762367,152007488,135355213
재고자산 (주11),13997075713,14689291583,15027680562
당기법인세자산 (주25),79094780,187988679,298435126
매각예정자산,0,0,3989856758
비유동자산,75583983471,91766141129,78834537734
"기타금융자산 (주7,8,31)",1970624425,18493408446,8288787763
"장기투자자산 (주7,12,31)",20345631945,16177618261,13784588162
관계기업투자 (주13),13726887402,15911928541,14223803219
"유형자산 (주14,18)",26111406293,27344545598,24140684276
무형자산 (주15),2127620049,2127620049,2127002800
"투자부동산 (주16,18)",10869757545,11056470181,15825335346
이연법인세자산 (주25),312681273,341577686,444336168
확정급여자산 (주21),119374539,312972367,0
자산총계,174969478824,169931826485,170283437144
부채,,,
유동부채,15814014566,18918952101,26662976267
"매입채무및기타채무 (주7,17,31)",8010026813,7004910060,6949999718
"단기차입금및사채 (주7,18,31,33,34,35)",5633103000,7986187700,17208882000
"유동리스부채 (주7,14,31,35)",92416565,151108492,193978581
"기타금융부채 (주7,20,31)",54753520,44753520,40000000
"기타유동부채 (주19,34)",1340677334,2895593185,1621989137
미지급법인세 (주25),683037334,836399144,648126831
비유동부채,7238282485,7083616369,8181443044
"장기차입금및사채 (주7,18,31,34,35)",2200000000,2200000000,0
"기타금융부채 (주7,20,31)",874659104,818948537,806216612
"비유동리스부채 (주7,14,31,35)",200315142,42565534,166254338
확정급여부채 (주21),0,0,187766844
이연법인세부채 (주25),3963308239,4022102298,7021205250
부채총계,23052297051,26002568470,34844419311
자본,,,
지배기업의 소유주에게 귀속되는 자본,120426759850,113666507631,106800774249
자본금 (주22),11489850000,11489850000,11489850000
연결자본잉여금 (주22),18330504143,17671973167,17671973167
연결자본조정 (주22),"(1,964,780,546)","(1,864,780,546)","(1,864,780,546)"
연결기타포괄손익누계액 (주22),"(3,641,239,089)","(3,559,503,733)","(3,423,585,052)"
이익잉여금 (주22),96212425342,89928968743,82927316680
비지배주주 지분,31490421923,30262750384,28638243584
자본총계,151917181773,143929258015,135439017833
자본과부채총계,174969478824,169931826485,170283437144
