Accounts,2023.12.31,2022.12.31
자산,,
유동자산,81515904831,105430382014
현금및현금성자산,22707619139,37793436363
단기금융상품,0,0
매출채권 및 기타유동채권,25764858235,40768638619
당기법인세자산,28901920,225207540
기타유동금융자산,0,2692318984
기타유동자산,12944396791,6813170365
유동재고자산,20070128746,17137610143
비유동자산,207980683506,167182201608
장기매출채권 및 기타비유동채권,1904250846,13267391314
기타비유동금융자산,21791431929,6200318966
유형자산,168199508914,131105441465
투자부동산,1201826046,1148309900
무형자산,7286413673,10244270380
"종속기업, 공동기업과 관계기업에 대한 투자자산",1382821169,1940355915
이연법인세자산,,
매각예정비유동자산,698671646,698671646
기타비유동자산,5515759283,2577442022
자산총계,289496588337,272612583622
부채,,
유동부채,99593017552,88469958703
매입채무 및 기타유동채무,44041219371,38113625124
계약부채,0,0
차입금,50408080728,39786900939
당기법인세부채,2205626523,502797816
기타유동금융부채,858735980,9064471152
유동충당부채,170409014,0
기타 유동부채,1908945936,1002163672
비유동부채,15897878162,41578332854
기타장기지급채무,901742308,1114380741
기타비유동금융부채,12383817,19250960
차입금,12975437859,35818859696
확정급여채무,0,0
비유동충당부채,562234373,211752143
이연법인세부채,1446079805,4414089314
기타 비유동 부채,0,0
부채총계,115490895714,130048291557
자본,,
지배기업의 소유주에게 귀속되는 자본,150155294615,112129419995
자본금,18422018500,16265467000
자본잉여금,129168824820,102998792521
기타자본구성요소,"(3,454,196,689)","(3,259,822,037)"
기타포괄손익누계액,2801114486,3256336956
이익잉여금(결손금),3217533498,"(7,131,354,445)"
비지배지분,23850398008,30434872070
자본총계,174005692623,142564292065
자본과부채총계,289496588337,272612583622
