Accounts,2023.01.01~2023.12.31,2022.09.01~2022.12.31
수익(매출액),380029515142,116372755248
매출원가,332534922916,102939994410
매출총이익,47494592226,13432760838
판매비와관리비,27160725445,7990131777
영업이익(손실),20333866781,5442629061
금융수익,10059705720,1256052329
금융원가,14624814043,16018660772
지분법손익,"(557,534,746)","(58,844,085)"
기타이익,6350669566,5716332212
기타손실,6950608262,3525343530
법인세비용차감전순이익(손실),14611285016,"(7,187,834,785)"
법인세비용(수익),"(47,188,211)","(148,192,086)"
계속영업이익(손실),14658473227,"(7,039,642,699)"
중단영업이익(손실),"(3,864,124,442)",
당기순이익(손실),10794348785,"(7,039,642,699)"
당기순이익(손실)의 귀속,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),10512189573,"(7,458,153,326)"
계속영업이익(손실),12444907874,"(7,458,153,326)"
중단영업이익(손실),"(1,932,718,301)",
비지배지분에 귀속되는 당기순이익(손실),282159212,418510627
계속영업이익(손실),2213565353,418510627
중단영업이익(손실),"(1,931,406,141)",
주당이익,,
기본주당이익(손실) (단위 : 원),,
계속영업기본주당이익(손실) (단위 : 원),354,(237)
중단영업기본주당이익(손실) (단위 : 원),(55),
희석주당이익(손실) (단위 : 원),,
계속영업희석주당이익(손실) (단위 : 원),354,77
중단영업희석주당이익(손실) (단위 : 원),(55),
