Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31
수익(매출액),2733841254,541878769
매출원가,2648712470,536413380
매출총이익,85128784,5465389
판매비와관리비,16223873849,15637701893
영업이익(손실),"(16,138,745,065)","(15,632,236,504)"
금융수익,572017447,2354016121
금융원가,514758235,400748185
기타이익,14432145,11905879
기타손실,253328474,7475686
법인세비용차감전순이익(손실),"(16,320,382,182)","(13,674,538,375)"
법인세비용(수익),697968,5476893
당기순이익(손실),"(16,321,080,150)","(13,680,015,268)"
기타포괄손익,"(277,864,249)","(93,434,887)"
당기손익으로 재분류되지 않는항목(세후기타포괄손익),"(270,862,678)","(95,925,760)"
확정급여제도의재측정요소,"(270,862,678)","(95,925,760)"
당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),"(7,001,571)",2490873
해외사업장환산의 증가(감소),"(7,001,571)",2490873
총포괄손익,"(16,598,944,399)","(13,773,450,155)"
당기순이익(손실)의 귀속,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),"(16,321,080,150)","(13,680,015,268)"
비지배지분에 귀속되는 당기순이익(손실),,
포괄손익의 귀속,,
"포괄손익, 지배기업의 소유주에게 귀속되는 지분","(16,598,944,399)","(13,773,450,155)"
"포괄손익, 비지배지분",,
주당이익,,
기본주당이익(손실) (단위 : 원),(609),(621)
희석주당이익(손실) (단위 : 원),(609),(621)
