Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
매출액,7475740778,6673564667,5082225030
매출원가,"(5,655,217,211)","(5,165,366,819)","(4,004,259,957)"
매출총이익,1820523567,1508197848,1077965073
판매비와관리비,"(755,800,592)","(678,748,741)","(557,755,477)"
영업이익,1064722975,829449107,520209596
영업외손익,"(101,607,870)","(143,449,272)","(64,937,328)"
금융수익,87997691,92882671,49934438
금융비용,"(158,253,190)","(219,896,207)","(132,011,678)"
기타영업외수익,2401710,4594151,23069238
기타영업외비용,"(34,168,975)","(22,384,634)","(15,666,096)"
지분법이익(손실),414894,1354747,9736770
법인세차감전순이익,963115105,685999835,455272268
법인세비용,"(257,222,754)","(187,485,158)","(118,080,828)"
연결당기순이익,705892351,498514677,337191440
당기순이익(손실)의 귀속,,,
지배기업 소유주지분,705892351,498514677,337191440
주당이익,,,
기본주당이익(손실) (단위 : USD),7.05,4.97,3.36
희석주당이익(손실) (단위 : USD),7.04,4.97,3.36
